# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Mar 23 20:23:55 2018
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
rowid,plntname,centralwavelng,bandwidth,plntransdep,plnradj,plnratror,plntranmid,plntranreflink,facility,instrument
56,CoRoT-1 b,1.43400,0.17550,,,0.14740,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
57,CoRoT-1 b,1.61000,0.17550,,,0.14150,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
58,CoRoT-1 b,1.78600,0.17550,,,0.14260,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
59,CoRoT-1 b,1.96100,0.17550,,,0.14310,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
60,CoRoT-1 b,2.13700,0.17550,,,0.14400,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
61,CoRoT-1 b,2.31200,0.17550,,,0.14700,,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014ApJ...783....5S target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
62,GJ 436 b,1.13600,,0.696600,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
63,GJ 436 b,1.15500,,0.699400,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
64,GJ 436 b,1.17400,,0.692400,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
65,GJ 436 b,1.19300,,0.687200,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
66,GJ 436 b,1.21100,,0.696800,,,2456226.691310,<a href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2014Natur.505...66K target=ref> Knutson et al. 2014</a>,Hubble Space Telescope satellite,Wide Field Camera 3
